FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better
15001021606,"Census Tract 216.06, Hawaii County, Hawaii",ACSSF,hi,140,0,312,15,1,21606,14000US15001021606,Census Tract 216.06,,2669,223,1478,968,8.36,55.38,36.27
15001021607,"Census Tract 216.07, Hawaii County, Hawaii",ACSSF,hi,140,0,313,15,1,21607,14000US15001021607,Census Tract 216.07,,3673,263,1904,1506,7.16,51.84,41
15001021608,"Census Tract 216.08, Hawaii County, Hawaii",ACSSF,hi,140,0,314,15,1,21608,14000US15001021608,Census Tract 216.08,,3135,69,1438,1628,2.2,45.87,51.93
15001021705,"Census Tract 217.05, Hawaii County, Hawaii",ACSSF,hi,140,0,315,15,1,21705,14000US15001021705,Census Tract 217.05,,4469,117,2284,2068,2.62,51.11,46.27
15001021706,"Census Tract 217.06, Hawaii County, Hawaii",ACSSF,hi,140,0,316,15,1,21706,14000US15001021706,Census Tract 217.06,,3174,171,1919,1084,5.39,60.46,34.15
15001021707,"Census Tract 217.07, Hawaii County, Hawaii",ACSSF,hi,140,0,317,15,1,21707,14000US15001021707,Census Tract 217.07,,2967,235,1944,788,7.92,65.52,26.56
15001021708,"Census Tract 217.08, Hawaii County, Hawaii",ACSSF,hi,140,0,318,15,1,21708,14000US15001021708,Census Tract 217.08,,3407,184,1883,1340,5.4,55.27,39.33
15001021800,"Census Tract 218, Hawaii County, Hawaii",ACSSF,hi,140,0,319,15,1,21800,14000US15001021800,Census Tract 218,,4465,164,2769,1532,3.67,62.02,34.31
15001021902,"Census Tract 219.02, Hawaii County, Hawaii",ACSSF,hi,140,0,320,15,1,21902,14000US15001021902,Census Tract 219.02,,2315,313,1514,488,13.52,65.4,21.08
15001022000,"Census Tract 220, Hawaii County, Hawaii",ACSSF,hi,140,0,321,15,1,22000,14000US15001022000,Census Tract 220,,1836,134,1280,422,7.3,69.72,22.98
15001022102,"Census Tract 221.02, Hawaii County, Hawaii",ACSSF,hi,140,0,322,15,1,22102,14000US15001022102,Census Tract 221.02,,1244,122,753,369,9.81,60.53,29.66
15001990000,"Census Tract 9900, Hawaii County, Hawaii",ACSSF,hi,140,0,323,15,1,990000,14000US15001990000,Census Tract 9900,,0,0,0,0,,,
15001990100,"Census Tract 9901, Hawaii County, Hawaii",ACSSF,hi,140,0,324,15,1,990100,14000US15001990100,Census Tract 9901,,0,0,0,0,,,
15001990300,"Census Tract 9903, Hawaii County, Hawaii",ACSSF,hi,140,0,325,15,1,990300,14000US15001990300,Census Tract 9903,,0,0,0,0,,,
15001990400,"Census Tract 9904, Hawaii County, Hawaii",ACSSF,hi,140,0,326,15,1,990400,14000US15001990400,Census Tract 9904,,0,0,0,0,,,
15001990500,"Census Tract 9905, Hawaii County, Hawaii",ACSSF,hi,140,0,327,15,1,990500,14000US15001990500,Census Tract 9905,,0,0,0,0,,,
15001990600,"Census Tract 9906, Hawaii County, Hawaii",ACSSF,hi,140,0,328,15,1,990600,14000US15001990600,Census Tract 9906,,0,0,0,0,,,
15001990700,"Census Tract 9907, Hawaii County, Hawaii",ACSSF,hi,140,0,329,15,1,990700,14000US15001990700,Census Tract 9907,,0,0,0,0,,,
15001990800,"Census Tract 9908, Hawaii County, Hawaii",ACSSF,hi,140,0,330,15,1,990800,14000US15001990800,Census Tract 9908,,0,0,0,0,,,
15001990900,"Census Tract 9909, Hawaii County, Hawaii",ACSSF,hi,140,0,331,15,1,990900,14000US15001990900,Census Tract 9909,,0,0,0,0,,,
